Semester,Section Number,Course Prefix,Course Number,Course Title,Course,Letter Grade,Count of letter grade,Department/Program
Summer 2011,70720,CRP,S386,GEO INFO SYSTEMS IN PLANNING,"CRP-S386: GEO INFO SYSTEMS IN PLANNING, Section no. 70720",A,7,Community And Regional Planning
Summer 2011,70790,LAR,F385,SUSTAINABLE SITES INITIATIVE,"LAR-F385: SUSTAINABLE SITES INITIATIVE, Section no. 70790",Other,1,Landscape Architecture
Summer 2011,70790,LAR,F385,SUSTAINABLE SITES INITIATIVE,"LAR-F385: SUSTAINABLE SITES INITIATIVE, Section no. 70790",B,1,Landscape Architecture
Summer 2011,70790,LAR,F385,SUSTAINABLE SITES INITIATIVE,"LAR-F385: SUSTAINABLE SITES INITIATIVE, Section no. 70790",B+,3,Landscape Architecture
Summer 2011,70790,LAR,F385,SUSTAINABLE SITES INITIATIVE,"LAR-F385: SUSTAINABLE SITES INITIATIVE, Section no. 70790",A-,1,Landscape Architecture
Summer 2011,70790,LAR,F385,SUSTAINABLE SITES INITIATIVE,"LAR-F385: SUSTAINABLE SITES INITIATIVE, Section no. 70790",A,1,Landscape Architecture
Summer 2011,70805,LAR,S380,SUMMER ATELIER IN LANDSCP ARCH,"LAR-S380: SUMMER ATELIER IN LANDSCP ARCH, Section no. 70805",Other,2,Landscape Architecture
Summer 2011,70805,LAR,S380,SUMMER ATELIER IN LANDSCP ARCH,"LAR-S380: SUMMER ATELIER IN LANDSCP ARCH, Section no. 70805",B-,1,Landscape Architecture
Summer 2011,70805,LAR,S380,SUMMER ATELIER IN LANDSCP ARCH,"LAR-S380: SUMMER ATELIER IN LANDSCP ARCH, Section no. 70805",B,7,Landscape Architecture
Summer 2011,70805,LAR,S380,SUMMER ATELIER IN LANDSCP ARCH,"LAR-S380: SUMMER ATELIER IN LANDSCP ARCH, Section no. 70805",B+,3,Landscape Architecture
Summer 2011,70805,LAR,S380,SUMMER ATELIER IN LANDSCP ARCH,"LAR-S380: SUMMER ATELIER IN LANDSCP ARCH, Section no. 70805",A-,1,Landscape Architecture
Summer 2011,70805,LAR,S380,SUMMER ATELIER IN LANDSCP ARCH,"LAR-S380: SUMMER ATELIER IN LANDSCP ARCH, Section no. 70805",A,1,Landscape Architecture
Summer 2011,70870,B A,W380C,INFO TECHNOL MANAGEMENT-DAL,"B A-W380C: INFO TECHNOL MANAGEMENT-DAL, Section no. 70870",B,4,Business Administration
Summer 2011,70870,B A,W380C,INFO TECHNOL MANAGEMENT-DAL,"B A-W380C: INFO TECHNOL MANAGEMENT-DAL, Section no. 70870",B+,11,Business Administration
Summer 2011,70870,B A,W380C,INFO TECHNOL MANAGEMENT-DAL,"B A-W380C: INFO TECHNOL MANAGEMENT-DAL, Section no. 70870",A-,9,Business Administration
Summer 2011,70870,B A,W380C,INFO TECHNOL MANAGEMENT-DAL,"B A-W380C: INFO TECHNOL MANAGEMENT-DAL, Section no. 70870",A,7,Business Administration
Summer 2011,70875,B A,W380C,INFO TECHNOL MANAGEMENT-DAL,"B A-W380C: INFO TECHNOL MANAGEMENT-DAL, Section no. 70875",B,8,Business Administration
Summer 2011,70875,B A,W380C,INFO TECHNOL MANAGEMENT-DAL,"B A-W380C: INFO TECHNOL MANAGEMENT-DAL, Section no. 70875",B+,10,Business Administration
Summer 2011,70875,B A,W380C,INFO TECHNOL MANAGEMENT-DAL,"B A-W380C: INFO TECHNOL MANAGEMENT-DAL, Section no. 70875",A-,7,Business Administration
Summer 2011,70875,B A,W380C,INFO TECHNOL MANAGEMENT-DAL,"B A-W380C: INFO TECHNOL MANAGEMENT-DAL, Section no. 70875",A,8,Business Administration
Summer 2011,70880,B A,W380C,INFO TECHNOL MANAGEMENT-HOU,"B A-W380C: INFO TECHNOL MANAGEMENT-HOU, Section no. 70880",F,1,Business Administration
Summer 2011,70880,B A,W380C,INFO TECHNOL MANAGEMENT-HOU,"B A-W380C: INFO TECHNOL MANAGEMENT-HOU, Section no. 70880",B,2,Business Administration
Summer 2011,70880,B A,W380C,INFO TECHNOL MANAGEMENT-HOU,"B A-W380C: INFO TECHNOL MANAGEMENT-HOU, Section no. 70880",B+,8,Business Administration
Summer 2011,70880,B A,W380C,INFO TECHNOL MANAGEMENT-HOU,"B A-W380C: INFO TECHNOL MANAGEMENT-HOU, Section no. 70880",A-,10,Business Administration
Summer 2011,70880,B A,W380C,INFO TECHNOL MANAGEMENT-HOU,"B A-W380C: INFO TECHNOL MANAGEMENT-HOU, Section no. 70880",A,24,Business Administration
Summer 2011,70885,B A,W380C,INFO TECHNOL MANAGEMENT-HOU,"B A-W380C: INFO TECHNOL MANAGEMENT-HOU, Section no. 70885",B,2,Business Administration
Summer 2011,70885,B A,W380C,INFO TECHNOL MANAGEMENT-HOU,"B A-W380C: INFO TECHNOL MANAGEMENT-HOU, Section no. 70885",B+,13,Business Administration
Summer 2011,70885,B A,W380C,INFO TECHNOL MANAGEMENT-HOU,"B A-W380C: INFO TECHNOL MANAGEMENT-HOU, Section no. 70885",A-,8,Business Administration
Summer 2011,70885,B A,W380C,INFO TECHNOL MANAGEMENT-HOU,"B A-W380C: INFO TECHNOL MANAGEMENT-HOU, Section no. 70885",A,21,Business Administration
Summer 2011,70890,B A,W380C,INFORMATION TECHNOL MANAGEMENT,"B A-W380C: INFORMATION TECHNOL MANAGEMENT, Section no. 70890",Other,1,Business Administration
Summer 2011,70890,B A,W380C,INFORMATION TECHNOL MANAGEMENT,"B A-W380C: INFORMATION TECHNOL MANAGEMENT, Section no. 70890",B-,2,Business Administration
Summer 2011,70890,B A,W380C,INFORMATION TECHNOL MANAGEMENT,"B A-W380C: INFORMATION TECHNOL MANAGEMENT, Section no. 70890",B,21,Business Administration
Summer 2011,70890,B A,W380C,INFORMATION TECHNOL MANAGEMENT,"B A-W380C: INFORMATION TECHNOL MANAGEMENT, Section no. 70890",B+,9,Business Administration
Summer 2011,70890,B A,W380C,INFORMATION TECHNOL MANAGEMENT,"B A-W380C: INFORMATION TECHNOL MANAGEMENT, Section no. 70890",A-,10,Business Administration
Summer 2011,70890,B A,W380C,INFORMATION TECHNOL MANAGEMENT,"B A-W380C: INFORMATION TECHNOL MANAGEMENT, Section no. 70890",A,15,Business Administration
Summer 2011,70895,B A,W380N,OPERATIONS MANAGEMENT,"B A-W380N: OPERATIONS MANAGEMENT, Section no. 70895",Other,2,Business Administration
Summer 2011,70895,B A,W380N,OPERATIONS MANAGEMENT,"B A-W380N: OPERATIONS MANAGEMENT, Section no. 70895",C,1,Business Administration
Summer 2011,70895,B A,W380N,OPERATIONS MANAGEMENT,"B A-W380N: OPERATIONS MANAGEMENT, Section no. 70895",C+,3,Business Administration
Summer 2011,70895,B A,W380N,OPERATIONS MANAGEMENT,"B A-W380N: OPERATIONS MANAGEMENT, Section no. 70895",B-,7,Business Administration
Summer 2011,70895,B A,W380N,OPERATIONS MANAGEMENT,"B A-W380N: OPERATIONS MANAGEMENT, Section no. 70895",B,11,Business Administration
Summer 2011,70895,B A,W380N,OPERATIONS MANAGEMENT,"B A-W380N: OPERATIONS MANAGEMENT, Section no. 70895",B+,17,Business Administration
Summer 2011,70895,B A,W380N,OPERATIONS MANAGEMENT,"B A-W380N: OPERATIONS MANAGEMENT, Section no. 70895",A-,12,Business Administration
Summer 2011,70895,B A,W380N,OPERATIONS MANAGEMENT,"B A-W380N: OPERATIONS MANAGEMENT, Section no. 70895",A,17,Business Administration
Summer 2011,70900,B A,W380S,MANAGERIAL ECONOMICS-HOU,"B A-W380S: MANAGERIAL ECONOMICS-HOU, Section no. 70900",C,1,Business Administration
Summer 2011,70900,B A,W380S,MANAGERIAL ECONOMICS-HOU,"B A-W380S: MANAGERIAL ECONOMICS-HOU, Section no. 70900",B,19,Business Administration
Summer 2011,70900,B A,W380S,MANAGERIAL ECONOMICS-HOU,"B A-W380S: MANAGERIAL ECONOMICS-HOU, Section no. 70900",A-,4,Business Administration
Summer 2011,70900,B A,W380S,MANAGERIAL ECONOMICS-HOU,"B A-W380S: MANAGERIAL ECONOMICS-HOU, Section no. 70900",A,21,Business Administration
Summer 2011,70905,B A,W380S,MANAGERIAL ECONOMICS-HOU,"B A-W380S: MANAGERIAL ECONOMICS-HOU, Section no. 70905",B,23,Business Administration
Summer 2011,70905,B A,W380S,MANAGERIAL ECONOMICS-HOU,"B A-W380S: MANAGERIAL ECONOMICS-HOU, Section no. 70905",A-,2,Business Administration
Summer 2011,70905,B A,W380S,MANAGERIAL ECONOMICS-HOU,"B A-W380S: MANAGERIAL ECONOMICS-HOU, Section no. 70905",A,19,Business Administration
Summer 2011,70910,B A,W381T,MARKETING MANAGEMENT,"B A-W381T: MARKETING MANAGEMENT, Section no. 70910",Other,1,Business Administration
Summer 2011,70910,B A,W381T,MARKETING MANAGEMENT,"B A-W381T: MARKETING MANAGEMENT, Section no. 70910",B-,7,Business Administration
Summer 2011,70910,B A,W381T,MARKETING MANAGEMENT,"B A-W381T: MARKETING MANAGEMENT, Section no. 70910",B,9,Business Administration
Summer 2011,70910,B A,W381T,MARKETING MANAGEMENT,"B A-W381T: MARKETING MANAGEMENT, Section no. 70910",B+,22,Business Administration
Summer 2011,70910,B A,W381T,MARKETING MANAGEMENT,"B A-W381T: MARKETING MANAGEMENT, Section no. 70910",A-,14,Business Administration
Summer 2011,70910,B A,W381T,MARKETING MANAGEMENT,"B A-W381T: MARKETING MANAGEMENT, Section no. 70910",A,17,Business Administration
Summer 2011,70915,B A,W388T,STRATEGIC MANAGEMENT-DAL,"B A-W388T: STRATEGIC MANAGEMENT-DAL, Section no. 70915",B-,3,Business Administration
Summer 2011,70915,B A,W388T,STRATEGIC MANAGEMENT-DAL,"B A-W388T: STRATEGIC MANAGEMENT-DAL, Section no. 70915",B,5,Business Administration
Summer 2011,70915,B A,W388T,STRATEGIC MANAGEMENT-DAL,"B A-W388T: STRATEGIC MANAGEMENT-DAL, Section no. 70915",B+,5,Business Administration
Summer 2011,70915,B A,W388T,STRATEGIC MANAGEMENT-DAL,"B A-W388T: STRATEGIC MANAGEMENT-DAL, Section no. 70915",A-,12,Business Administration
Summer 2011,70915,B A,W388T,STRATEGIC MANAGEMENT-DAL,"B A-W388T: STRATEGIC MANAGEMENT-DAL, Section no. 70915",A,6,Business Administration
Summer 2011,70920,B A,W388T,STRATEGIC MANAGEMENT-DAL,"B A-W388T: STRATEGIC MANAGEMENT-DAL, Section no. 70920",B-,1,Business Administration
Summer 2011,70920,B A,W388T,STRATEGIC MANAGEMENT-DAL,"B A-W388T: STRATEGIC MANAGEMENT-DAL, Section no. 70920",B,8,Business Administration
Summer 2011,70920,B A,W388T,STRATEGIC MANAGEMENT-DAL,"B A-W388T: STRATEGIC MANAGEMENT-DAL, Section no. 70920",B+,6,Business Administration
Summer 2011,70920,B A,W388T,STRATEGIC MANAGEMENT-DAL,"B A-W388T: STRATEGIC MANAGEMENT-DAL, Section no. 70920",A-,13,Business Administration
Summer 2011,70920,B A,W388T,STRATEGIC MANAGEMENT-DAL,"B A-W388T: STRATEGIC MANAGEMENT-DAL, Section no. 70920",A,5,Business Administration
Summer 2011,70925,B A,W388T,STRATEGIC MANAGEMENT-MEX,"B A-W388T: STRATEGIC MANAGEMENT-MEX, Section no. 70925",B,4,Business Administration
Summer 2011,70925,B A,W388T,STRATEGIC MANAGEMENT-MEX,"B A-W388T: STRATEGIC MANAGEMENT-MEX, Section no. 70925",B+,12,Business Administration
Summer 2011,70925,B A,W388T,STRATEGIC MANAGEMENT-MEX,"B A-W388T: STRATEGIC MANAGEMENT-MEX, Section no. 70925",A-,18,Business Administration
Summer 2011,70935,B A,F291,SPEC STDS: CAP INT IND STD-DAL,"B A-F291: SPEC STDS: CAP INT IND STD-DAL, Section no. 70935",B+,6,Business Administration
Summer 2011,70935,B A,F291,SPEC STDS: CAP INT IND STD-DAL,"B A-F291: SPEC STDS: CAP INT IND STD-DAL, Section no. 70935",A-,10,Business Administration
Summer 2011,70935,B A,F291,SPEC STDS: CAP INT IND STD-DAL,"B A-F291: SPEC STDS: CAP INT IND STD-DAL, Section no. 70935",A,11,Business Administration
Summer 2011,70940,B A,F291,SPEC STDS: CAP INT IND STD-DAL,"B A-F291: SPEC STDS: CAP INT IND STD-DAL, Section no. 70940",B+,9,Business Administration
Summer 2011,70940,B A,F291,SPEC STDS: CAP INT IND STD-DAL,"B A-F291: SPEC STDS: CAP INT IND STD-DAL, Section no. 70940",A-,12,Business Administration
Summer 2011,70940,B A,F291,SPEC STDS: CAP INT IND STD-DAL,"B A-F291: SPEC STDS: CAP INT IND STD-DAL, Section no. 70940",A,8,Business Administration
Summer 2011,70945,B A,F291,SPEC STDS: CAP INT IND STD-HOU,"B A-F291: SPEC STDS: CAP INT IND STD-HOU, Section no. 70945",B+,16,Business Administration
Summer 2011,70945,B A,F291,SPEC STDS: CAP INT IND STD-HOU,"B A-F291: SPEC STDS: CAP INT IND STD-HOU, Section no. 70945",A-,16,Business Administration
Summer 2011,70945,B A,F291,SPEC STDS: CAP INT IND STD-HOU,"B A-F291: SPEC STDS: CAP INT IND STD-HOU, Section no. 70945",A,8,Business Administration
Summer 2011,70950,B A,F291,SPEC STDS: CAP INT IND STD-HOU,"B A-F291: SPEC STDS: CAP INT IND STD-HOU, Section no. 70950",B+,15,Business Administration
Summer 2011,70950,B A,F291,SPEC STDS: CAP INT IND STD-HOU,"B A-F291: SPEC STDS: CAP INT IND STD-HOU, Section no. 70950",A-,15,Business Administration
Summer 2011,70950,B A,F291,SPEC STDS: CAP INT IND STD-HOU,"B A-F291: SPEC STDS: CAP INT IND STD-HOU, Section no. 70950",A,8,Business Administration
Summer 2011,71085,B A,N398L,WRITTEN/ORAL COMM FOR INTL STU,"B A-N398L: WRITTEN/ORAL COMM FOR INTL STU, Section no. 71085",Other,3,Business Administration
Summer 2011,71085,B A,N398L,WRITTEN/ORAL COMM FOR INTL STU,"B A-N398L: WRITTEN/ORAL COMM FOR INTL STU, Section no. 71085",A,7,Business Administration
Summer 2011,71200,ACC,F310F,FOUNDATIONS OF ACCOUNTING,"ACC-F310F: FOUNDATIONS OF ACCOUNTING, Section no. 71200",Other,7,Accounting
Summer 2011,71200,ACC,F310F,FOUNDATIONS OF ACCOUNTING,"ACC-F310F: FOUNDATIONS OF ACCOUNTING, Section no. 71200",D-,2,Accounting
Summer 2011,71200,ACC,F310F,FOUNDATIONS OF ACCOUNTING,"ACC-F310F: FOUNDATIONS OF ACCOUNTING, Section no. 71200",D+,3,Accounting
Summer 2011,71200,ACC,F310F,FOUNDATIONS OF ACCOUNTING,"ACC-F310F: FOUNDATIONS OF ACCOUNTING, Section no. 71200",C-,3,Accounting
Summer 2011,71200,ACC,F310F,FOUNDATIONS OF ACCOUNTING,"ACC-F310F: FOUNDATIONS OF ACCOUNTING, Section no. 71200",C,4,Accounting
Summer 2011,71200,ACC,F310F,FOUNDATIONS OF ACCOUNTING,"ACC-F310F: FOUNDATIONS OF ACCOUNTING, Section no. 71200",C+,12,Accounting
Summer 2011,71200,ACC,F310F,FOUNDATIONS OF ACCOUNTING,"ACC-F310F: FOUNDATIONS OF ACCOUNTING, Section no. 71200",B-,9,Accounting
Summer 2011,71200,ACC,F310F,FOUNDATIONS OF ACCOUNTING,"ACC-F310F: FOUNDATIONS OF ACCOUNTING, Section no. 71200",B,17,Accounting
Summer 2011,71200,ACC,F310F,FOUNDATIONS OF ACCOUNTING,"ACC-F310F: FOUNDATIONS OF ACCOUNTING, Section no. 71200",B+,23,Accounting
Summer 2011,71200,ACC,F310F,FOUNDATIONS OF ACCOUNTING,"ACC-F310F: FOUNDATIONS OF ACCOUNTING, Section no. 71200",A-,20,Accounting
Summer 2011,71200,ACC,F310F,FOUNDATIONS OF ACCOUNTING,"ACC-F310F: FOUNDATIONS OF ACCOUNTING, Section no. 71200",A,16,Accounting
Summer 2011,71205,ACC,F311,FUNDAMENTALS OF FINANCIAL ACC,"ACC-F311: FUNDAMENTALS OF FINANCIAL ACC, Section no. 71205",Other,4,Accounting
Summer 2011,71205,ACC,F311,FUNDAMENTALS OF FINANCIAL ACC,"ACC-F311: FUNDAMENTALS OF FINANCIAL ACC, Section no. 71205",F,2,Accounting
Summer 2011,71205,ACC,F311,FUNDAMENTALS OF FINANCIAL ACC,"ACC-F311: FUNDAMENTALS OF FINANCIAL ACC, Section no. 71205",D,1,Accounting
Summer 2011,71205,ACC,F311,FUNDAMENTALS OF FINANCIAL ACC,"ACC-F311: FUNDAMENTALS OF FINANCIAL ACC, Section no. 71205",C-,1,Accounting
Summer 2011,71205,ACC,F311,FUNDAMENTALS OF FINANCIAL ACC,"ACC-F311: FUNDAMENTALS OF FINANCIAL ACC, Section no. 71205",C,5,Accounting
Summer 2011,71205,ACC,F311,FUNDAMENTALS OF FINANCIAL ACC,"ACC-F311: FUNDAMENTALS OF FINANCIAL ACC, Section no. 71205",C+,2,Accounting
Summer 2011,71205,ACC,F311,FUNDAMENTALS OF FINANCIAL ACC,"ACC-F311: FUNDAMENTALS OF FINANCIAL ACC, Section no. 71205",B-,4,Accounting
